Country Code,Country Name,Region,IncomeGroup,SE_XPD_PRIM_PC_ZS,SE_XPD_SECO_PC_ZS,SE_XPD_TOTL_GD_ZS,SL_TLF_TOTL_IN,SL_UEM_TOTL_ZS
NPL,Nepal,South Asia,Low income,12.40004484,11.08849915,3.5928475,13784313.56,2.037062496
NRU,Nauru,East Asia & Pacific,Upper middle income,79.10346985,,11.53605,,
NZL,New Zealand,East Asia & Pacific,High income,18.639733,21.23002625,6.421928,2236609.625,5.110624969
OMN,Oman,Middle East & North Africa,High income,13.79989774,16.27829392,3.999517778,1290243.438,4.043875024
PAK,Pakistan,South Asia,Lower middle income,7.927646637,12.93409316,2.376426154,53278835.31,4.96506254
PAN,Panama,Latin America & Caribbean,High income,10.2645483,14.26467816,3.923695714,1590751.313,8.471249938
PER,Peru,Latin America & Caribbean,Upper middle income,8.712336331,10.65415553,3.03237,15043009.81,4.239125043
PHL,Philippines,East Asia & Pacific,Lower middle income,10.01138115,9.152483938,2.78054,36304625.44,3.61649999
PLW,Palau,East Asia & Pacific,High income,,,7.820473333,,
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,,,,2962786.438,2.512999982
POL,Poland,Europe & Central Asia,High income,24.59376773,22.15726865,5.081565,17735962.81,12.85437506
PRI,Puerto Rico,Latin America & Caribbean,High income,18.93421555,20.39270973,6.27687,1332194.625,12.63937503
PRK,"Korea, Dem. People’s Rep.",East Asia & Pacific,Low income,,,,14998443.31,4.516687423
PRT,Portugal,Europe & Central Asia,High income,21.31345487,30.71362233,5.124555,5415669.438,9.141250089
PRY,Paraguay,Latin America & Caribbean,Upper middle income,10.85062885,13.84024556,4.147631111,2783467.938,5.61937511
PSE,West Bank and Gaza,Middle East & North Africa,Lower middle income,,,5.600942,848311.9375,24.14187485
PYF,French Polynesia,East Asia & Pacific,High income,,,,107773.3125,15.4487502
QAT,Qatar,Middle East & North Africa,High income,9.881509781,10.49806976,3.766182308,989833.9375,1.272374993
ROU,Romania,Europe & Central Asia,Upper middle income,12.10608462,14.47690725,3.353379231,9747738.625,6.965624928
RUS,Russian Federation,Europe & Central Asia,Upper middle income,,,3.646118,75529596.13,7.137499958
RWA,Rwanda,Sub-Saharan Africa,Low income,7.756951064,34.87047267,4.491454,4876183.5,1.90499999
SAU,Saudi Arabia,Middle East & North Africa,High income,17.70899963,17.6497097,6.388505,9168537.625,5.503125042
SDN,Sudan,Sub-Saharan Africa,Lower middle income,,,1.716388571,8999117.438,13.06018752
SEN,Senegal,Sub-Saharan Africa,Low income,18.92984485,28.83256085,5.241034,3714818.688,8.089124978
SGP,Singapore,East Asia & Pacific,High income,10.35479323,15.50041707,3.250642857,2560008.375,3.967500046
SLB,Solomon Islands,East Asia & Pacific,Lower middle income,,,9.3784575,213534.3125,2.099000007
SLE,Sierra Leone,Sub-Saharan Africa,Low income,7.213956674,11.19043001,3.001015714,2081334,3.967437506
SLV,El Salvador,Latin America & Caribbean,Lower middle income,10.97316909,11.21722462,3.704189286,2514441.875,5.641250014
SMR,San Marino,Europe & Central Asia,High income,15.22340488,11.75178528,2.34636,,
SOM,Somalia,Sub-Saharan Africa,Low income,,,,2751529.063,5.955499947
SRB,Serbia,Europe & Central Asia,Upper middle income,53.31957118,13.04770168,4.46205875,3216484.75,17.99187493
SSD,South Sudan,Sub-Saharan Africa,Low income,3.744199991,7.652150154,1.197785,3791344.063,12.09525007
STP,Sao Tome and Principe,Sub-Saharan Africa,Lower middle income,15.4253931,14.82534981,5.544670769,52673.5625,15.17462492
SUR,Suriname,Latin America & Caribbean,Upper middle income,,,,189796,8.743749946
SVK,Slovak Republic,Europe & Central Asia,High income,15.53158196,16.93264739,3.99316625,2672107.313,14.75187498
SVN,Slovenia,Europe & Central Asia,High income,27.89640737,26.28433446,5.473082,1010414.313,6.96875006
SWE,Sweden,Europe & Central Asia,High income,23.22150519,27.38077621,6.889975,4837224.875,6.675000027
SWZ,Eswatini,Sub-Saharan Africa,Lower middle income,12.10382094,31.2463527,6.0204325,365572.875,25.1197499
SYC,Seychelles,Sub-Saharan Africa,High income,12.92255847,12.65587656,4.178651429,,
SYR,Syrian Arab Republic,Middle East & North Africa,Low income,15.91310616,18.34786186,5.19304625,5277029.5,11.24781257
TCA,Turks and Caicos Islands,Latin America & Caribbean,High income,11.78507345,25.18090555,4.19434,,
TCD,Chad,Sub-Saharan Africa,Low income,6.717863324,19.15873586,2.218778889,4082892.938,5.699499965
TGO,Togo,Sub-Saharan Africa,Low income,11.18874991,19.78337002,4.201518125,2789498.125,1.863562502
THA,Thailand,East Asia & Pacific,Upper middle income,21.1082041,13.78899872,4.11643,38195456.88,1.238125
TJK,Tajikistan,Europe & Central Asia,Low income,,,3.411057857,2683607.063,11.11543745
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,,,3.04925,2172619.625,3.801750004
TLS,Timor-Leste,East Asia & Pacific,Lower middle income,5.79580754,4.173362613,1.980907143,257419.75,5.921249986
TON,Tonga,East Asia & Pacific,Upper middle income,9.863263448,7.970623175,4.266762,38161.875,2.288499996
TTO,Trinidad and Tobago,Latin America & Caribbean,High income,11.78260572,,3.1251375,648848.5625,6.735624999
TUN,Tunisia,Middle East & North Africa,Lower middle income,16.73360308,26.77205486,6.383957692,3654229.438,14.59612495
TUR,Turkey,Europe & Central Asia,Upper middle income,13.83840251,11.55594492,3.402595,24262350.5,9.597499967
TZA,Tanzania,Sub-Saharan Africa,Low income,11.09218799,12.43457985,4.121735,19645523.94,3.595999941
UGA,Uganda,Sub-Saharan Africa,Low income,6.604640007,,2.8196325,11271429.75,2.987374991
UKR,Ukraine,Europe & Central Asia,Lower middle income,29.97653723,28.5384078,5.910807143,21937134.75,8.404375136
URY,Uruguay,Latin America & Caribbean,High income,7.714328705,8.949717158,2.7579675,1663248.188,10.10506243
USA,United States,North America,High income,20.52017339,23.2493824,5.154408,154402476.4,6.303125009
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,,,7.227006667,12111679.88,8.190062463
VCT,St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,18.21089385,20.72228921,6.776292857,53831,18.80631232
VEN,"Venezuela, RB",Latin America & Caribbean,Upper middle income,13.39173245,12.09644532,4.723683333,12460598.69,10.07562497
VGB,British Virgin Islands,Latin America & Caribbean,High income,10.21771369,18.19345647,4.227894286,,
VIR,Virgin Islands (U.S.),Latin America & Caribbean,High income,,,,53888.625,7.496749967
VNM,Vietnam,East Asia & Pacific,Lower middle income,19.5320015,,5.139911667,49549031.56,2.264624991
VUT,Vanuatu,East Asia & Pacific,Lower middle income,14.47386799,56.93583361,6.7231175,96161.625,5.478812516
WSM,Samoa,East Asia & Pacific,Upper middle income,8.807079951,8.822335243,4.098705,36735.5625,4.856749952
YEM,"Yemen, Rep.",Middle East & North Africa,Low income,18.39685059,11.98610973,8.019256667,5038487.5,15.05806243
ZAF,South Africa,Sub-Saharan Africa,Upper middle income,15.16933198,18.338942,5.4312575,18524757,24.44187522
ZMB,Zambia,Sub-Saharan Africa,Lower middle income,6.516206734,,1.665526,5404049.125,10.11218745
ZWE,Zimbabwe,Sub-Saharan Africa,Low income,19.1960001,30.43348026,6.0166425,6480840.25,5.039624959
